symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
BSOFT,INE836A01035,2025-01-03,NSE,EQ,EQ,buy,false,17.000000,552.400024,6748500,1000000049185593,2025-01-03T15:28:30
PIDILITIND,INE318A01026,2025-01-03,NSE,EQ,EQ,buy,false,5.000000,2926.449951,409203236,1200000063574019,2025-01-03T15:28:30
HEROMOTOCO,INE158A01026,2025-01-03,NSE,EQ,EQ,buy,false,2.000000,4242.850098,210010874,1100000061607073,2025-01-03T15:28:30
DREAMFOLKS,INE0JS101016,2025-01-03,NSE,EQ,EQ,buy,false,25.000000,402.399994,210010871,1100000061607067,2025-01-03T15:28:30
BAJAJ-AUTO,INE917I01010,2025-01-03,NSE,EQ,EQ,buy,false,1.000000,8955.000000,6748499,1000000049185592,2025-01-03T15:28:30
VGUARD,INE951I01027,2025-01-03,NSE,EQ,EQ,buy,false,20.000000,425.700012,609536550,1300000056190291,2025-01-03T15:28:30
EXIDEIND,INE302A01020,2025-01-03,NSE,EQ,EQ,buy,false,25.000000,424.200012,210059121,1100000061685001,2025-01-03T15:29:54
PIIND,INE603J01030,2025-01-06,NSE,EQ,EQ,buy,false,4.000000,3675.199951,402895650,1200000020113056,2025-01-06T10:26:34
APOLLOHOSP,INE437A01024,2025-01-13,NSE,EQ,EQ,buy,false,2.000000,6771.700195,6900418,1000000060282564,2025-01-13T13:59:13
APOLLOHOSP,INE437A01024,2025-01-13,NSE,EQ,EQ,buy,false,1.000000,6771.700195,6900419,1000000060282564,2025-01-13T13:59:13
CAMPUS,INE278Y01022,2025-01-13,NSE,EQ,EQ,buy,false,40.000000,264.450012,7031556,1000000061324891,2025-01-13T14:04:29
BAJFINANCE,INE296A01024,2025-01-27,NSE,EQ,EQ,sell,false,7.000000,7386.649902,2933274,1000000021511345,2025-01-27T10:27:34
BAJFINANCE,INE296A01024,2025-01-27,NSE,EQ,EQ,sell,false,2.000000,7386.700195,2933273,1000000021511345,2025-01-27T10:27:34
BAJFINANCE,INE296A01024,2025-01-27,NSE,EQ,EQ,sell,false,1.000000,7386.649902,2933275,1000000021511345,2025-01-27T10:27:34
BAJFINANCE,INE296A01024,2025-01-27,NSE,EQ,EQ,sell,false,1.000000,7386.700195,2933272,1000000021511345,2025-01-27T10:27:34
BAJFINANCE,INE296A01024,2025-01-27,NSE,EQ,EQ,sell,false,9.000000,7388.200195,2933271,1000000021511345,2025-01-27T10:27:34
BAJFINANCE,INE296A01024,2025-01-27,NSE,EQ,EQ,sell,false,3.000000,7388.350098,2933270,1000000021511345,2025-01-27T10:27:34
KALYANKJIL,INE303R01014,2025-01-27,NSE,EQ,EQ,buy,false,35.000000,435.899994,403940478,1200000025361543,2025-01-27T10:30:10
JIOFIN,INE758E01017,2025-01-27,NSE,EQ,EQ,buy,false,85.000000,234.699997,405780736,1200000039807086,2025-01-27T11:32:09
ZOMATO,INE758T01015,2025-01-27,NSE,EQ,EQ,buy,false,50.000000,209.300003,605794183,1300000039548718,2025-01-27T11:55:32
CRISIL,INE007A01025,2025-01-27,NSE,EQ,EQ,buy,false,2.000000,5032.000000,4752452,1000000038503762,2025-01-27T11:55:32
GREENPANEL,INE08ZM01014,2025-01-27,NSE,EQ,EQ,buy,false,14.000000,320.700012,205953614,1100000041683874,2025-01-27T11:59:27
BECTORFOOD,INE495P01012,2025-01-27,NSE,EQ,EQ,buy,false,1.000000,1471.650024,4814930,1000000039179270,2025-01-27T11:59:27
