symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
QUANT INFRASTRUCTURE FUND - DIRECT PLAN,INF966L01721,2023-01-05,BSE,MF,,buy,false,1960.840000,25.503100,598059728,598059728,2023-01-05T00:00:00
QUANT INFRASTRUCTURE FUND - DIRECT PLAN,INF966L01721,2023-01-06,BSE,MF,,buy,false,1970.889000,25.368000,598714594,598714594,2023-01-06T00:00:00
QUANT MID CAP FUND - DIRECT PLAN,INF966L01887,2023-01-06,BSE,MF,,buy,false,332.143000,150.560300,598712532,598712532,2023-01-06T00:00:00
TATA SMALL CAP FUND - DIRECT PLAN,INF277K011O1,2023-01-06,BSE,MF,,buy,false,1941.745000,25.753900,598711161,598711161,2023-01-06T00:00:00
CANARA ROBECO SMALL CAP FUND - DIRECT PLAN,INF760K01JC6,2023-01-27,BSE,MF,,buy,false,1962.618000,25.480000,615517192,615517192,2023-01-27T00:00:00
KOTAK SMALL CAP FUND - DIRECT PLAN,INF174K01KT2,2023-01-27,BSE,MF,,buy,false,276.886000,180.607000,615522022,615522022,2023-01-27T00:00:00
QUANT INFRASTRUCTURE FUND - DIRECT PLAN,INF966L01721,2023-01-27,BSE,MF,,buy,false,2127.155000,23.509100,615512826,615512826,2023-01-27T00:00:00
QUANT INFRASTRUCTURE FUND - DIRECT PLAN,INF966L01721,2023-02-07,BSE,MF,,buy,false,2152.267000,23.234800,625065892,625065892,2023-02-07T00:00:00
QUANT INFRASTRUCTURE FUND - DIRECT PLAN,INF966L01721,2023-02-13,BSE,MF,,buy,false,2146.328000,23.299100,629337042,629337042,2023-02-13T00:00:00
PGIM INDIA FLEXI CAP FUND - DIRECT PLAN,INF663L01FF1,2023-06-27,BSE,MF,,sell,false,176.483000,30.760000,750438577,750438577,2023-06-27T00:00:00
QUANT BFSI FUND - DIRECT PLAN,INF966L01BX0,2023-08-09,BSE,MF,,buy,false,4468.099000,11.191000,794764966,794764966,2023-08-09T00:00:00
