symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
GLAND,INE068V01023,2023-01-02,NSE,EQ,EQ,buy,false,3.000000,1576.500000,25609547,1100000003463223,2023-01-02T09:39:13
BAJAJFINSV,INE918I01026,2023-01-02,NSE,EQ,EQ,buy,false,3.000000,1537.550049,499738,1000000002988789,2023-01-02T09:39:13
MOTHERSON,INE775A01035,2023-01-02,NSE,EQ,EQ,buy,false,50.000000,75.699997,50617872,1200000003554214,2023-01-02T09:39:13
NYKAA,INE388Y01029,2023-01-02,NSE,EQ,EQ,buy,false,20.000000,153.949997,50617873,1200000003554215,2023-01-02T09:39:13
BAJFINANCE,INE296A01024,2023-01-05,NSE,EQ,EQ,buy,false,1.000000,6126.000000,1708825,1000000010221174,2023-01-05T11:14:02
BAJAJFINSV,INE918I01026,2023-01-05,NSE,EQ,EQ,buy,false,3.000000,1477.900024,1732159,1000000010383152,2023-01-05T11:17:13
BAJFINANCE,INE296A01024,2023-01-05,NSE,EQ,EQ,buy,false,1.000000,6095.000000,4195768,1000000024923429,2023-01-05T15:17:56
OFSS,INE881D01027,2023-01-06,NSE,EQ,EQ,buy,false,3.000000,2987.600098,53093930,1200000020059325,2023-01-06T14:11:06
TCS,INE467B01029,2023-01-06,NSE,EQ,EQ,buy,false,3.000000,3202.050049,78328788,1300000019519208,2023-01-06T14:11:06
LTIM,INE214T01019,2023-01-06,NSE,EQ,EQ,buy,false,1.000000,4203.799805,53093931,1200000020059328,2023-01-06T14:11:06
COFORGE,INE591G01017,2023-01-06,NSE,EQ,EQ,buy,false,1.000000,3921.949951,3106527,1000000020450036,2023-01-06T14:11:06
MPHASIS,INE356A01018,2023-01-06,NSE,EQ,EQ,buy,false,2.000000,1975.800049,53093933,1200000020059329,2023-01-06T14:11:06
HCLTECH,INE860A01027,2023-01-06,NSE,EQ,EQ,buy,false,8.000000,1025.900024,28515297,1100000023537504,2023-01-06T14:11:06
INFY,INE009A01021,2023-01-06,NSE,EQ,EQ,buy,false,6.000000,1451.500000,28515296,1100000023537495,2023-01-06T14:11:06
KPITTECH,INE04I401011,2023-01-06,NSE,EQ,EQ,buy,false,5.000000,698.950012,53093938,1200000020059348,2023-01-06T14:11:06
KPITTECH,INE04I401011,2023-01-06,NSE,EQ,EQ,buy,false,3.000000,699.000000,53093939,1200000020059348,2023-01-06T14:11:06
PERSISTENT,INE262H01013,2023-01-06,NSE,EQ,EQ,buy,false,2.000000,3850.000000,53093934,1200000020059330,2023-01-06T14:11:06
MPHASIS,INE356A01018,2023-01-06,NSE,EQ,EQ,buy,false,1.000000,1975.800049,53093932,1200000020059329,2023-01-06T14:11:06
TECHM,INE669C01036,2023-01-06,NSE,EQ,EQ,buy,false,6.000000,987.099976,78328787,1300000019519205,2023-01-06T14:11:06
VAIBHAVGBL,INE884A01027,2023-01-09,NSE,EQ,EQ,buy,false,10.000000,300.649994,76075921,1300000005665484,2023-01-09T10:08:31
BAJFINANCE,INE296A01024,2023-01-09,NSE,EQ,EQ,buy,false,1.000000,6043.000000,845703,1000000005004226,2023-01-09T10:08:31
DMART,INE192R01011,2023-01-09,NSE,EQ,EQ,buy,false,3.000000,3900.000000,26094404,1100000006267863,2023-01-09T10:08:31
THYROCARE,INE594H01019,2023-01-09,NSE,EQ,EQ,buy,false,6.000000,583.450012,76075920,1300000005665477,2023-01-09T10:08:31
BAJAJFINSV,INE918I01026,2023-01-09,NSE,EQ,EQ,buy,false,2.000000,1432.250000,853198,1000000005047209,2023-01-09T10:09:18
BAJFINANCE,INE296A01024,2023-01-11,NSE,EQ,EQ,buy,false,1.000000,5893.850098,390151,1000000002420678,2023-01-11T09:31:44
HDFCLIFE,INE795G01014,2023-01-11,NSE,EQ,EQ,buy,false,10.000000,597.950012,25418303,1100000002582775,2023-01-11T09:31:44
HDFCBANK,INE040A01034,2023-01-11,NSE,EQ,EQ,buy,false,4.000000,1565.849976,25418307,1100000002582784,2023-01-11T09:31:44
VGUARD,INE951I01027,2023-01-11,NSE,EQ,EQ,buy,false,11.000000,255.399994,75474832,1300000002477553,2023-01-11T09:31:44
MARICO,INE196A01026,2023-01-11,NSE,EQ,EQ,buy,false,10.000000,503.850006,50401589,1200000002395466,2023-01-11T09:31:44
HINDUNILVR,INE030A01027,2023-01-11,NSE,EQ,EQ,buy,false,2.000000,2615.500000,25418308,1100000002582785,2023-01-11T09:31:44
ASIANPAINT,INE021A01026,2023-01-11,NSE,EQ,EQ,buy,false,2.000000,2946.550049,390152,1000000002420683,2023-01-11T09:31:44
PIDILITIND,INE318A01026,2023-01-11,NSE,EQ,EQ,buy,false,2.000000,2515.550049,50401588,1200000002395465,2023-01-11T09:31:44
VAIBHAVGBL,INE884A01027,2023-01-12,NSE,EQ,EQ,buy,false,19.000000,297.950012,77480525,1300000015315090,2023-01-12T12:47:59
GMMPFAUDLR,INE541A01023,2023-01-12,NSE,EQ,EQ,buy,false,3.000000,1578.000000,27437389,1100000015963362,2023-01-12T12:47:59
BERGEPAINT,INE463A01038,2023-01-12,NSE,EQ,EQ,buy,false,5.000000,563.000000,2085188,1000000014407634,2023-01-12T12:47:59
VAIBHAVGBL,INE884A01027,2023-01-12,NSE,EQ,EQ,buy,false,1.000000,297.950012,77480526,1300000015315090,2023-01-12T12:47:59
ASIANPAINT,INE021A01026,2023-01-12,NSE,EQ,EQ,buy,false,2.000000,2904.000000,2085186,1000000014407619,2023-01-12T12:47:59
ZOMATO,INE758T01015,2023-01-12,NSE,EQ,EQ,buy,false,99.000000,53.500000,77480524,1300000015315087,2023-01-12T12:47:59
DMART,INE192R01011,2023-01-16,NSE,EQ,EQ,buy,false,2.000000,3678.649902,25331966,1100000001853409,2023-01-16T09:25:15
NYKAA,INE388Y01029,2023-01-16,NSE,EQ,EQ,buy,false,30.000000,140.750000,52825708,1200000018314100,2023-01-16T14:11:07
ZOMATO,INE758T01015,2023-01-17,NSE,EQ,EQ,buy,false,2.000000,50.900002,77501743,1300000014063652,2023-01-17T12:52:04
ZOMATO,INE758T01015,2023-01-17,NSE,EQ,EQ,buy,false,98.000000,50.900002,77501742,1300000014063652,2023-01-17T12:52:04
ASIANPAINT,INE021A01026,2023-01-19,NSE,EQ,EQ,buy,false,3.000000,2867.949951,2892889,1000000018760741,2023-01-19T14:49:32
ZOMATO,INE758T01015,2023-01-25,NSE,EQ,EQ,buy,false,40.000000,48.599998,76191701,1300000005448312,2023-01-25T10:15:25
BAJFINANCE,INE296A01024,2023-01-25,NSE,EQ,EQ,buy,false,2.000000,5798.299805,4051036,1000000023827461,2023-01-25T14:51:54
ASTRAL,INE006I01046,2023-01-25,NSE,EQ,EQ,buy,false,3.000000,1980.000000,4051041,1000000023827497,2023-01-25T14:51:54
ASIANPAINT,INE021A01026,2023-01-25,NSE,EQ,EQ,buy,false,4.000000,2771.600098,4051040,1000000023827496,2023-01-25T14:51:54
BAJAJFINSV,INE918I01026,2023-02-01,NSE,EQ,EQ,buy,false,4.000000,1264.550049,7554143,1000000038363456,2023-02-01T15:20:23
HDFCLIFE,INE795G01014,2023-02-01,NSE,EQ,EQ,buy,false,20.000000,513.299988,31978033,1100000039256752,2023-02-01T15:21:07
BAJFINANCE,INE296A01024,2023-02-02,NSE,EQ,EQ,buy,false,2.000000,5662.750000,3847799,1000000019283572,2023-02-02T11:24:51
ASIANPAINT,INE021A01026,2023-02-02,NSE,EQ,EQ,buy,false,4.000000,2706.899902,7665045,1000000040113990,2023-02-02T14:52:47
ADANIPORTS,INE742F01042,2023-02-03,NSE,EQ,EQ,buy,false,12.000000,431.149994,1031247,1000000004579430,2023-02-03T09:45:58
NMDC,INE584A01023,2023-02-03,NSE,EQ,EQ,buy,false,21.000000,117.949997,51105129,1200000006331693,2023-02-03T10:17:32
NATIONALUM,INE139A01034,2023-02-03,NSE,EQ,EQ,buy,false,23.000000,79.099998,51105130,1200000006331698,2023-02-03T10:17:32
