symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
BOI AXA SMALL CAP FUND - DIRECT PLAN,INF761K01EP7,2022-01-25,BSE,MF,,buy,false,894.090000,27.960000,364291571,364291571,2022-01-25T00:00:00
QUANT INFRASTRUCTURE FUND - DIRECT PLAN,INF966L01721,2022-01-25,BSE,MF,,buy,false,1140.308000,21.922800,364297291,364297291,2022-01-25T00:00:00
ADITYA BIRLA SUN LIFE DIGITAL INDIA FUND - DIRECT PLAN,INF209K01VF2,2022-01-27,BSE,MF,,buy,false,212.469000,141.190000,365113852,365113852,2022-01-27T00:00:00
QUANT INFRASTRUCTURE FUND - DIRECT PLAN,INF966L01721,2022-02-07,BSE,MF,,buy,false,2177.525000,22.960700,371805365,371805365,2022-02-07T00:00:00
BOI AXA SMALL CAP FUND - DIRECT PLAN,INF761K01EP7,2022-02-14,BSE,MF,,buy,false,2817.290000,26.620000,376336774,376336774,2022-02-14T00:00:00
CANARA ROBECO BLUECHIP EQUITY FUND - DIRECT PLAN,INF760K01FR2,2022-02-14,BSE,MF,,buy,false,225.265000,44.390000,376328170,376328170,2022-02-14T00:00:00
QUANT INFRASTRUCTURE FUND - DIRECT PLAN,INF966L01721,2022-02-14,BSE,MF,,buy,false,2306.615000,21.675700,376336838,376336838,2022-02-14T00:00:00
ADITYA BIRLA SUN LIFE DIGITAL INDIA FUND - DIRECT PLAN,INF209K01VF2,2022-02-22,BSE,MF,,buy,false,142.453000,140.460000,381141900,381141900,2022-02-22T00:00:00
CANARA ROBECO BLUECHIP EQUITY FUND - DIRECT PLAN,INF760K01FR2,2022-02-22,BSE,MF,,buy,false,111.476000,44.940000,381145755,381145755,2022-02-22T00:00:00
CANARA ROBECO EQUITY HYBRID FUND - DIRECT PLAN,INF760K01EZ8,2022-03-07,BSE,MF,,buy,false,20.264000,247.230000,390283329,390283329,2022-03-07T00:00:00
QUANT INFRASTRUCTURE FUND - DIRECT PLAN,INF966L01721,2022-03-07,BSE,MF,,buy,false,1259.817000,19.851100,390286036,390286036,2022-03-07T00:00:00
PGIM INDIA FLEXI CAP FUND - DIRECT PLAN,INF663L01FF1,2022-03-22,BSE,MF,,buy,false,176.483000,28.330000,400181640,400181640,2022-03-22T00:00:00
BOI AXA SMALL CAP FUND - DIRECT PLAN,INF761K01EP7,2022-04-18,BSE,MF,,buy,false,1798.831000,27.800000,417683396,417683396,2022-04-18T00:00:00
QUANT INFRASTRUCTURE FUND - DIRECT PLAN,INF966L01721,2022-04-18,BSE,MF,,buy,false,2125.008000,23.530500,417670398,417670398,2022-04-18T00:00:00
CANARA ROBECO SMALL CAP FUND - DIRECT PLAN,INF760K01JC6,2022-05-04,BSE,MF,,buy,false,2005.515000,24.930000,426997330,426997330,2022-05-04T00:00:00
QUANT SMALL CAP FUND - DIRECT PLAN,INF966L01689,2022-05-04,BSE,MF,,buy,false,373.298000,133.934400,426996636,426996636,2022-05-04T00:00:00
CANARA ROBECO SMALL CAP FUND - DIRECT PLAN,INF760K01JC6,2022-05-06,BSE,MF,,buy,false,2055.384000,24.330000,429321774,429321774,2022-05-06T00:00:00
QUANT SMALL CAP FUND - DIRECT PLAN,INF966L01689,2022-05-06,BSE,MF,,buy,false,378.397000,132.156200,429336809,429336809,2022-05-06T00:00:00
QUANT INFRASTRUCTURE FUND - DIRECT PLAN,INF966L01721,2022-05-19,BSE,MF,,buy,false,2423.804000,20.627700,438698442,438698442,2022-05-19T00:00:00
QUANT SMALL CAP FUND - DIRECT PLAN,INF966L01689,2022-05-19,BSE,MF,,buy,false,396.798000,126.002300,438697287,438697287,2022-05-19T00:00:00
CANARA ROBECO SMALL CAP FUND - DIRECT PLAN,INF760K01JC6,2022-06-20,BSE,MF,,buy,false,2270.550000,22.020000,459370809,459370809,2022-06-20T00:00:00
CANARA ROBECO BLUECHIP EQUITY FUND - DIRECT PLAN,INF760K01FR2,2022-09-23,BSE,MF,,buy,false,547.978000,45.620000,519413035,519413035,2022-09-23T00:00:00
CANARA ROBECO SMALL CAP FUND - DIRECT PLAN,INF760K01JC6,2022-09-23,BSE,MF,,buy,false,945.132000,26.450000,519413612,519413612,2022-09-23T00:00:00
QUANT INFRASTRUCTURE FUND - DIRECT PLAN,INF966L01721,2022-09-26,BSE,MF,,buy,false,2096.322000,23.850100,521292477,521292477,2022-09-26T00:00:00
QUANT SMALL CAP FUND - DIRECT PLAN,INF966L01689,2022-09-26,BSE,MF,,buy,false,365.180000,136.911900,521290312,521290312,2022-09-26T00:00:00
QUANT SMALL CAP FUND - DIRECT PLAN,INF966L01689,2022-09-29,BSE,MF,,buy,false,362.515000,137.946200,522799978,522799978,2022-09-29T00:00:00
NIPPON INDIA SMALL CAP FUND - DIRECT PLAN,INF204K01K15,2022-12-19,BSE,MF,,buy,false,479.760000,104.234500,584829290,584829290,2022-12-19T00:00:00
TATA SMALL CAP FUND - DIRECT PLAN,INF277K011O1,2022-12-19,BSE,MF,,buy,false,1894.324000,26.398600,584829513,584829513,2022-12-19T00:00:00
QUANT FLEXI CAP FUND - DIRECT PLAN,INF966L01911,2022-12-20,BSE,MF,,buy,false,712.833000,70.153200,586316196,586316196,2022-12-20T00:00:00
QUANT MID CAP FUND - DIRECT PLAN,INF966L01887,2022-12-20,BSE,MF,,buy,false,328.833000,152.075600,586316866,586316866,2022-12-20T00:00:00
QUANT INFRASTRUCTURE FUND - DIRECT PLAN,INF966L01721,2022-12-22,BSE,MF,,buy,false,1982.937000,25.218900,587424138,587424138,2022-12-22T00:00:00
QUANT SMALL CAP FUND - DIRECT PLAN,INF966L01689,2022-12-22,BSE,MF,,buy,false,337.161000,148.319300,587430783,587430783,2022-12-22T00:00:00
QUANT INFRASTRUCTURE FUND - DIRECT PLAN,INF966L01721,2022-12-23,BSE,MF,,buy,false,2079.175000,24.046800,587922984,587922984,2022-12-23T00:00:00
QUANT SMALL CAP FUND - DIRECT PLAN,INF966L01689,2022-12-23,BSE,MF,,buy,false,354.157000,141.173100,587924269,587924269,2022-12-23T00:00:00
