symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
INVESCO INDIA SMALLCAP FUND - DIRECT PLAN,INF205K013T3,2026-01-14,BSE,MF,,buy,false,2197.802000,45.500000,2401824346,2401824346,2026-01-14T00:00:00
KOTAK MIDCAP FUND - DIRECT PLAN,INF174K01LT0,2026-01-14,BSE,MF,,buy,false,640.127000,156.219000,2401825769,2401825769,2026-01-14T00:00:00
INVESCO INDIA SMALL CAP FUND - DIRECT GROWTH,INF205K013T3,2026-07-08,BSE,MF,,buy,false,966.605000,51.730000,2859612301,2859612301,2026-07-08T00:00:00
QUANT MID CAP FUND DIRECT PLAN - GROWTH,INF966L01887,2026-09-08,BSE,MF,,buy,false,200.335000,249.584300,3022281958,3022281958,2026-09-08T00:00:00
TATA SMALL CAP FUND DIRECT PLAN GROWTH,INF277K011O1,2026-09-08,BSE,MF,,buy,false,1103.849000,45.296500,3022283307,3022283307,2026-09-08T00:00:00
