symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
OBEROIRLTY,INE093I01010,2022-01-17,NSE,EQ,EQ,sell,false,1.000000,960.849976,51666425,1200000005437629,2022-01-17T10:09:16
SUNTECK,INE805D01034,2022-01-17,NSE,EQ,EQ,sell,false,1.000000,571.400024,76777191,1300000006221295,2022-01-17T10:09:16
PHOENIXLTD,INE211B01039,2022-01-17,NSE,EQ,EQ,sell,false,1.000000,1030.050049,51666426,1200000005437633,2022-01-17T10:09:16
BRIGADE,INE791I01019,2022-01-17,NSE,EQ,EQ,sell,false,2.000000,478.850006,1186932,1000000004729145,2022-01-17T10:09:16
EMBASSY,INE041025011,2022-01-17,NSE,EQ,RR,buy,false,5.000000,362.880005,26873242,1100000006074347,2022-01-17T10:09:18
MINDSPACE,INE0CCU25019,2022-01-17,NSE,EQ,RR,buy,false,5.000000,343.000000,51699831,1200000005545845,2022-01-17T10:11:07
BRIGADE,INE791I01019,2022-01-24,NSE,EQ,EQ,buy,false,3.000000,469.399994,5358379,1000000025589005,2022-01-24T14:39:37
PHOENIXLTD,INE211B01039,2022-01-24,NSE,EQ,EQ,buy,false,1.000000,929.450012,56418926,1200000025863086,2022-01-24T14:39:37
SOBHA,INE671H01015,2022-01-24,NSE,EQ,EQ,buy,false,2.000000,865.599976,82742540,1300000028972314,2022-01-24T14:39:37
PHOENIXLTD,INE211B01039,2022-01-24,NSE,EQ,EQ,buy,false,1.000000,929.000000,56418925,1200000025863086,2022-01-24T14:39:37
MINDSPACE,INE0CCU25019,2022-01-24,NSE,EQ,RR,buy,false,5.000000,344.000000,56418918,1200000025863064,2022-01-24T14:39:37
EMBASSY,INE041025011,2022-01-24,NSE,EQ,RR,buy,false,5.000000,361.000000,31555168,1100000026635828,2022-01-24T14:39:37
DLF,INE271C01023,2022-01-24,NSE,EQ,EQ,buy,false,5.000000,369.500000,31555169,1100000026635829,2022-01-24T14:39:37
GODREJPROP,INE484J01027,2022-01-24,NSE,EQ,EQ,buy,false,1.000000,1657.949951,31555162,1100000026635808,2022-01-24T14:39:37
OBEROIRLTY,INE093I01010,2022-01-24,NSE,EQ,EQ,buy,false,2.000000,889.500000,56418915,1200000025863060,2022-01-24T14:39:37
SUNTECK,INE805D01034,2022-01-24,NSE,EQ,EQ,buy,false,4.000000,498.500000,82742541,1300000028972319,2022-01-24T14:39:37
BRIGADE,INE791I01019,2022-01-24,NSE,EQ,EQ,buy,false,1.000000,469.299988,5358378,1000000025589005,2022-01-24T14:39:37
HEIDELBERG,INE578A01017,2022-01-24,NSE,EQ,EQ,buy,false,7.000000,222.350006,31607216,1100000026836173,2022-01-24T14:41:47
POLYPLEX,INE633B01018,2022-01-24,NSE,EQ,EQ,buy,false,1.000000,1726.050049,56470375,1200000026063675,2022-01-24T14:41:47
KEC,INE389H01022,2022-01-24,NSE,EQ,EQ,buy,false,1.000000,489.450012,56470365,1200000026063666,2022-01-24T14:41:47
ESCORTS,INE042A01014,2022-01-24,NSE,EQ,EQ,buy,false,1.000000,1848.849976,31607218,1100000026836183,2022-01-24T14:41:47
REDINGTON,INE891D01026,2022-01-24,NSE,EQ,EQ,buy,false,2.000000,150.600006,82798608,1300000029186950,2022-01-24T14:41:47
JKLAKSHMI,INE786A01032,2022-01-24,NSE,EQ,EQ,buy,false,3.000000,596.950012,56470374,1200000026063674,2022-01-24T14:41:47
CHAMBLFERT,INE085A01013,2022-01-24,NSE,EQ,EQ,buy,false,5.000000,438.600006,5401110,1000000025790279,2022-01-24T14:41:47
