symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
BANDHANBNK,INE545U01014,2024-01-08,NSE,EQ,EQ,buy,false,22.000000,233.899994,6263461,1000000034579193,2024-01-08T15:06:45
BANDHANBNK,INE545U01014,2024-01-08,NSE,EQ,EQ,buy,false,18.000000,233.899994,6263460,1000000034579193,2024-01-08T15:06:45
SBICARD,INE018E01016,2024-01-08,NSE,EQ,EQ,buy,false,13.000000,767.849976,69336795,1300000037071344,2024-01-08T15:13:21
PAGEIND,INE761H01022,2024-01-09,NSE,EQ,EQ,buy,false,1.000000,36800.000000,46080434,1200000033184707,2024-01-09T14:03:01
IBULHSGFIN,INE148I01020,2024-01-09,NSE,EQ,EQ,sell,false,50.000000,216.000000,27101808,1100000029409548,2024-01-09T14:08:08
POLYCAB,INE455K01017,2024-01-11,NSE,EQ,EQ,buy,false,3.000000,3947.399902,44753731,1200000024411837,2024-01-11T11:54:20
ASIANPAINT,INE021A01026,2024-01-15,NSE,EQ,EQ,buy,false,5.000000,3264.050049,3221992,1000000018185988,2024-01-15T11:35:40
ASIANPAINT,INE021A01026,2024-01-15,NSE,EQ,EQ,buy,false,2.000000,3264.050049,3221993,1000000018185988,2024-01-15T11:35:40
ASTRAL,INE006I01046,2024-01-15,NSE,EQ,EQ,buy,false,6.000000,1800.849976,3258325,1000000018436859,2024-01-15T11:38:27
AMRUTANJAN,INE098F01031,2024-01-15,NSE,EQ,EQ,buy,false,5.000000,595.849976,3284714,1000000018611751,2024-01-15T11:40:26
AMRUTANJAN,INE098F01031,2024-01-15,NSE,EQ,EQ,buy,false,2.000000,595.849976,3284715,1000000018611751,2024-01-15T11:40:26
AMRUTANJAN,INE098F01031,2024-01-15,NSE,EQ,EQ,buy,false,8.000000,595.900024,3284716,1000000018611751,2024-01-15T11:40:26
VINATIORGA,INE410B01037,2024-01-15,NSE,EQ,EQ,buy,false,9.000000,1722.500000,65150195,1300000022413064,2024-01-15T11:42:44
GMMPFAUDLR,INE541A01023,2024-01-15,NSE,EQ,EQ,buy,false,5.000000,1548.349976,25765528,1100000023334041,2024-01-15T11:44:09
DELTACORP,INE124G01033,2024-01-15,NSE,EQ,EQ,buy,false,70.000000,149.449997,25812976,1100000023533207,2024-01-15T11:46:12
SBICARD,INE018E01016,2024-01-15,NSE,EQ,EQ,buy,false,10.000000,767.950012,65299145,1300000023061625,2024-01-15T11:49:48
VEDL,INE205A01025,2024-01-15,NSE,EQ,EQ,sell,false,130.000000,273.000000,65410393,1300000023504876,2024-01-15T11:54:22
EQUITASBNK,INE063P01018,2024-01-15,NSE,EQ,EQ,sell,false,323.000000,113.099998,30866932,1100000043903028,2024-01-15T15:19:45
JIOFIN,INE758E01017,2024-01-16,NSE,EQ,EQ,buy,false,80.000000,249.399994,48775967,1200000042654044,2024-01-16T14:38:10
HDFCBANK,INE040A01034,2024-01-17,NSE,EQ,EQ,buy,false,13.000000,1559.250000,26793939,1100000028377030,2024-01-17T11:50:33
HDFCBANK,INE040A01034,2024-01-17,NSE,EQ,EQ,buy,false,10.000000,1538.750000,32399259,1100000053164341,2024-01-17T15:12:05
IDFCFIRSTB,INE092T01019,2024-01-23,NSE,EQ,EQ,buy,false,120.000000,83.099998,26779643,1100000026926393,2024-01-23T11:15:29
PIDILITIND,INE318A01026,2024-01-23,NSE,EQ,EQ,buy,false,4.000000,2500.000000,49118506,1200000046940043,2024-01-23T14:03:19
HDFCBANK,INE040A01034,2024-01-23,NSE,EQ,EQ,buy,false,8.000000,1428.400024,36387612,1100000066919329,2024-01-23T15:22:32
AAVAS,INE216P01012,2024-01-24,NSE,EQ,EQ,buy,false,6.000000,1485.000000,3648621,1000000020760403,2024-01-24T11:28:12
HDFCBANK,INE040A01034,2024-01-25,NSE,EQ,EQ,buy,false,9.000000,1426.800049,26833960,1100000035629652,2024-01-25T12:48:19
AUBANK,INE949L01017,2024-01-29,NSE,EQ,EQ,buy,false,15.000000,637.099976,1489435,1000000007334533,2024-01-29T09:48:52
SBICARD,INE018E01016,2024-01-29,NSE,EQ,EQ,buy,false,15.000000,715.950012,62363446,1300000008524239,2024-01-29T09:48:52
HDFCAMC,INE127D01025,2024-01-29,NSE,EQ,EQ,sell,false,3.000000,3511.250000,22765701,1100000011151710,2024-01-29T10:06:07
ASIANPAINT,INE021A01026,2024-01-30,NSE,EQ,EQ,buy,false,5.000000,2962.600098,7077123,1000000042184499,2024-01-30T14:38:41
AAVAS,INE216P01012,2024-01-30,NSE,EQ,EQ,buy,false,1.000000,1492.800049,7108905,1000000042359625,2024-01-30T14:39:57
AAVAS,INE216P01012,2024-01-30,NSE,EQ,EQ,buy,false,3.000000,1492.849976,7108906,1000000042359625,2024-01-30T14:39:57
