symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
BANK OF INDIA SMALL CAP FUND-DIRECT PLAN-GROWTH,INF761K01EP7,2025-10-27,BSE,MF,,sell,false,5510.211000,52.550000,2204507016,2204507016,2025-10-27T00:00:00
NIPPON INDIA SMALL CAP FUND DIRECT PLAN GROWTH PLAN GROWTH,INF204K01K15,2025-10-27,BSE,MF,,sell,false,479.760000,192.193700,2204507285,2204507285,2025-10-27T00:00:00
BANDHAN SMALL CAP FUND DIRECT PLAN-GROWTH,INF194KB1AL4,2025-10-29,BSE,MF,,buy,false,1887.255000,52.987000,2207775957,2207775957,2025-10-29T00:00:00
HELIOS FLEXI CAP FUND-DIRECT PLAN-GROWTH,INF0R8701046,2025-10-29,BSE,MF,,buy,false,6285.355000,15.910000,2207772089,2207772089,2025-10-29T00:00:00
INVESCO INDIA FLEXI CAP FUND-DIRECT PLAN - GROWTH,INF205KA1494,2025-10-29,BSE,MF,,buy,false,4866.180000,20.550000,2207771508,2207771508,2025-10-29T00:00:00
ITI SMALL CAP FUND DIRECT PLAN GROWTH,INF00XX01747,2025-10-29,BSE,MF,,buy,false,3083.080000,32.435100,2207776531,2207776531,2025-10-29T00:00:00
