Symbol,Ex-date,Qty,Dividend per share,Total dividend
KTKBANK,2025-09-16,180,5,900
AMRUTANJAN,2025-09-16,75,2.6,195
SHAKTIPUMP,2025-09-18,33,1,33
SJVN,2025-09-18,207,0.31,64.17
JYOTIRES,2025-09-19,20,9,180
MOIL,2025-09-19,77,1.61,123.97
DAAWAT,2025-09-19,62,1,62
NATIONALUM,2025-09-19,254,2.5,635
TCS,2025-10-15,81,11,891
HCLTECH#,2025-10-17,129,12,1548
TECHM,2025-10-20,105,15,1575
KSOLVES,2025-10-23,60,5,300
LTIM,2025-10-24,32,22,704
CYIENT,2025-10-24,46,16,736
INFY#,2025-10-27,132,23,3036
TANLA,2025-10-27,23,6,138
CRISIL#,2025-10-27,14,16,224
COFORGE,2025-10-31,76,4,304
OFSS,2025-11-03,19,130,2470
HAPPSTMNDS#,2025-11-04,30,2.75,82.5
COALINDIA,2025-11-04,249,10.25,2552.25
VAIBHAVGBL6,2025-11-06,110,1.5,165
BPCL,2025-11-07,94,7.5,705
NTPC,2025-11-07,142,2.75,390.5
HINDUNILVR#,2025-11-07,63,19,1197
POWERGRID,2025-11-10,172,4.5,774
ASTRAL,2025-11-11,50,1.5,75
ARE&M#,2025-11-13,35,5.4,189
MOIL,2025-11-14,77,1.8,138.6
PETRONET,2025-11-14,170,7,1190
INDIGRID,2025-11-14,89,4,356
NATIONALUM,2025-11-14,254,4,1016
ONGC,2025-11-14,130,6,780
GMMPFAUDLR,2025-11-17,47,1,47
EPL,2025-11-17,118,2.5,295
AMRUTANJAN,2025-11-18,75,1,75
ASIANPAINT,2025-11-18,71,4.5,319.5
PAGEIND,2025-11-19,2,125,250
IRCTC,2025-11-21,27,5,135
OIL,2025-11-21,55,3.5,192.5
SONATSOFTW,2025-11-21,55,1.25,68.75
HCLTECH#,2026-01-16,129,12,1548
TCS,2026-01-16,83,46,3818
TCS,2026-01-16,83,11,913
ANGELONE,2026-01-21,10,23,230
KSOLVES,2026-01-27,60,5,300
PERSISTENT,2026-01-27,29,22,638
KEI,2026-01-28,9,4.5,40.5
JSL,2026-01-29,32,1,32
KIRLPNU,2026-01-30,12,3.5,42
ENRIN,2026-01-30,2,4,8
COFORGE,2026-01-30,76,4,304
BPCL,2026-02-02,85,10,850
DAAWAT,2026-02-02,62,1,62
VAIBHAVGBL6,2026-02-03,110,1.5,165
ITC#,2026-02-04,48,6.5,312
IEX,2026-02-04,590,1.5,885
MOIL,2026-02-05,77,3.53,271.81
GAIL,2026-02-05,149,5,745
SHARDACROP6,2026-02-06,27,6,162
NTPC,2026-02-06,156,2.75,429
CLEAN#,2026-02-06,40,2,80
SUNDARMFIN6,2026-02-06,4,16,64
AMRUTANJAN,2026-02-06,75,1,75
NATIONALUM,2026-02-06,175,4.5,787.5
POWERGRID,2026-02-09,194,3.25,630.5
TIINDIA,2026-02-10,23,2,46
NHPC,2026-02-10,323,1.4,452.2
PAGEIND,2026-02-11,4,125,500
HEROMOTOCO,2026-02-11,1,110,110
SONATSOFTW,2026-02-13,55,1.25,68.75
NMDC,2026-02-13,324,2.5,810
INDIGRID,2026-02-17,63,4,252
BECTORFOOD#,2026-02-17,375,0.6,225
OIL,2026-02-18,58,7,406
COALINDIA,2026-02-18,261,5.5,1435.5
ONGC,2026-02-18,130,6.25,812.5
IRCTC,2026-02-20,27,3.5,94.5
PIIND,2026-02-23,31,5,155
CASTROLIND,2026-03-23,500,5.25,2625
ANGELONE,2026-03-27,100,1.75,175
MOTHERSON#,2026-03-27,930,0.35,325.5
TVSMOTOR,2026-03-30,31,12,372
