Symbol,Ex-date,Qty,Dividend per share,Total dividend
VBL,2025-04-04,50,0.5,25
CRISIL,2025-04-11,7,26,182
SCHAEFFLER,2025-04-23,4,28,112
HCLTECH,2025-04-28,116,18,2088
TANLA,2025-04-30,23,6,138
CRISIL#,2025-05-07,7,8,56
VBL,2025-05-07,50,0.5,25
OFSS,2025-05-08,19,265,5035
COFORGE,2025-05-09,18,19,342
IEX,2025-05-16,183,1.5,274.5
INDIGRID,2025-05-20,67,4.1,274.7
PAGEIND,2025-05-21,2,200,400
LTIM,2025-05-23,39,45,1755
ITC,2025-05-28,48,7.85,376.8
TATACONSUM,2025-05-29,17,8.25,140.25
ANGELONE,2025-05-30,10,26,260
INFY#,2025-05-30,120,22,2640
JWL,2025-05-30,26,1,26
LT,2025-06-03,5,34,170
NUVAMA,2025-06-03,10,69,690
TCS,2025-06-04,60,30,1800
TATAMOTORS,2025-06-04,56,6,336
TORNTPOWER,2025-06-06,19,5,95
TATASTEEL,2025-06-06,253,3.6,910.8
ASIANPAINT,2025-06-10,78,20.55,1602.9
TATAELXSI,2025-06-11,16,75,1200
TRENT,2025-06-12,4,5,20
ACC,2025-06-13,10,7.5,75
ATGL,2025-06-13,40,0.25,10
ADANIPORTS,2025-06-13,9,7,63
TATATECH,2025-06-16,25,3.35,83.75
TATATECH,2025-06-16,25,8.35,208.75
TEJASNET,2025-06-19,70,2.5,175
HDFCLIFE,2025-06-20,160,2.1,336
VOLTAS,2025-06-20,8,7,56
BAJAJ-AUTO*,2025-06-20,7,210,1470
TATAPOWER,2025-06-20,95,2.25,213.75
MOTHERSON#,2025-06-23,384,0.35,134.4
HINDUNILVR#,2025-06-23,63,24,1512
ALKYLAMINE,2025-06-24,17,10,170
POLYCAB,2025-06-24,2,35,70
HDFCBANK,2025-06-27,40,22,880
VAIBHAVGBL6,2025-06-27,110,1.5,165
INDHOTEL,2025-06-30,14,2.25,31.5
JSWINFRA#,2025-07-01,47,0.8,37.6
NESTLE,2025-07-04,78,10,780
JKCEMENT#,2025-07-08,2,15,30
JSWSTEEL,2025-07-08,33,2.8,92.4
TITAN,2025-07-08,23,11,253
SUNDARMFIN6,2025-07-09,4,21,84
MPHASIS,2025-07-09,65,57,3705
GEOJITFSL,2025-07-11,500,1.5,750
IDFCFIRSTB,2025-07-11,1100,0.25,275
PERSISTENT,2025-07-14,29,15,435
KIRLPNU,2025-07-15,12,6.5,78
TCS,2025-07-16,66,11,726
KOTAKBANK,2025-07-18,42,2.5,105
HCLTECH#,2025-07-18,129,12,1548
HAPPSTMNDS#,2025-07-18,30,3.5,105
WELCORP,2025-07-18,28,5,140
EXIDEIND,2025-07-18,150,2,300
BLUESTARCO,2025-07-18,12,9,108
SONATSOFTW,2025-07-23,55,4.4,242
PIDILITIND,2025-07-23,36,20,720
HEROMOTOCO,2025-07-24,15,65,975
ULTRACEMCO,2025-07-25,2,77.5,155
HDFCBANK,2025-07-25,40,5,200
GMMPFAUDLR,2025-07-25,47,1,47
TIMKEN#,2025-07-25,3,36,108
ABBOTINDIA,2025-07-25,1,475,475
CRISIL#,2025-07-28,10,9,90
KPITTECH,2025-07-28,133,6,798
SHYAMMETL#,2025-07-28,34,1.8,61.2
INDIGRID,2025-07-29,67,4,268
APARINDS,2025-07-29,2,51,102
COFORGE,2025-07-31,90,4,360
BPCL,2025-07-31,94,5,470
VGUARD#,2025-07-31,120,1.5,180
ARE&M#,2025-08-01,35,5.2,182
VBL,2025-08-01,50,0.5,25
DAAWAT,2025-08-01,47,1,47
DEEPAKNTR,2025-08-04,16,7.5,120
GAIL,2025-08-04,114,1,114
BERGEPAINT,2025-08-05,114,3.8,433.2
COALINDIA,2025-08-06,61,5.5,335.5
SHARDACROP6,2025-08-07,27,6,162
PIIND,2025-08-07,13,10,130
SONATSOFTW,2025-08-08,55,1.25,68.75
HINDALCO#,2025-08-08,45,5,225
DELTACORP,2025-08-08,150,1.25,187.5
JIOFIN,2025-08-11,300,0.5,150
CASTROLIND,2025-08-11,91,3.5,318.5
HGINFRA,2025-08-12,8,2,16
PIDILITIND,2025-08-13,36,10,360
PAGEIND,2025-08-13,2,150,300
NHPC,2025-08-14,277,0.51,141.27
NMDC,2025-08-14,324,1,324
RELIANCE,2025-08-14,46,5.5,253
BANDHANBNK6,2025-08-14,470,1.5,705
ASTRAL,2025-08-14,50,2.25,112.5
NCC,2025-08-14,36,2.2,79.2
VAIBHAVGBL6,2025-08-14,110,1.5,165
AARTIIND,2025-08-18,36,1,36
JKPAPER,2025-08-18,135,5,675
SHYAMMETL#,2025-08-19,34,2.25,76.5
POWERGRID,2025-08-19,154,1.25,192.5
COALINDIA,2025-08-21,101,5.15,520.15
PARADEEP,2025-08-22,113,1,113
IRCTC,2025-08-22,27,1,27
INDIGOPNTS,2025-08-22,85,3.5,297.5
APLAPOLLO#,2025-08-22,23,5.75,132.25
JINDALSTEL,2025-08-22,32,2,64
HMAAGRO,2025-08-22,560,0.3,168
MANYAVAR#,2025-08-28,10,8,80
EPL,2025-09-02,82,2.5,205
DEEPAKFERT,2025-09-02,13,10,130
RATNAMANI,2025-09-02,13,14,182
CLEAN#,2025-09-04,40,4,160
ONGC,2025-09-04,102,1.25,127.5
TIMETECHNO#,2025-09-04,58,2.5,145
OIL,2025-09-04,55,1.5,82.5
NTPC,2025-09-04,113,3.35,378.55
KALYANKJIL,2025-09-04,120,1.5,180
SAIL,2025-09-08,160,1.6,256
TITAGARH,2025-09-08,12,1,12
CAMPUS,2025-09-10,125,0.3,37.5
BECTORFOOD#,2025-09-12,75,3,225
RUSHIL,2025-09-12,1400,0.1,140
