Symbol,Ex-date,Qty,Dividend per share,Total dividend
WIPRO,2022-04-05,32,5,160
MUTHOOTFIN,2022-04-25,13,20,260
HCLTECH,2022-04-28,44,18,792
EMBASSY,2022-05-06,10,5.26,52.6
HDFCBANK,2022-05-12,42,15.5,651
OFSS,2022-05-13,8,190,1520
MINDSPACE,2022-05-17,10,4.61,46.1
TRENT,2022-05-20,7,1.1,7.7
COFORGE,2022-05-23,5,13,65
TCS,2022-05-25,18,22,396
ITC,2022-05-26,44,6.25,275
INFY,2022-05-31,34,16,544
HDFC,2022-05-31,9,30,270
HDFCLIFE,2022-05-31,20,1.7,34
ASIANPAINT,2022-06-09,15,15.5,232.5
VOLTAS,2022-06-09,6,5.5,33
TATACONSUM,2022-06-09,12,6.05,72.6
TATACHEM,2022-06-15,6,12.5,75
KEC6,2022-06-15,12,4,48
CANBK,2022-06-15,20,6.5,130
HINDUNILVR,2022-06-15,24,19,456
TATAELXSI,2022-06-15,1,42.5,42.5
TATAPOWER,2022-06-15,19,1.75,33.25
TATASTEEL,2022-06-15,6,51,306
BRITANNIA,2022-06-20,3,56.5,169.5
POLYCAB,2022-06-21,3,14,42
GHCL,2022-06-22,6,5,30
GHCL,2022-06-22,6,10,60
PNB6,2022-06-22,120,0.64,76.8
HAPPSTMNDS,2022-06-23,24,2,48
CAMS,2022-06-23,4,12,48
WHIRLPOOL,2022-06-28,5,5,25
BAJFINANCE6,2022-06-30,7,20,140
LTI,2022-06-30,7,30,210
SIYSIL,2022-07-01,7,3.2,22.4
PETRONET,2022-07-04,9,4.5,40.5
MINDTREE,2022-07-05,8,27,216
MPHASIS,2022-07-05,13,46,598
OBEROIRLTY,2022-07-07,4,3,12
TITAN,2022-07-08,10,7.5,75
PERSISTENT,2022-07-11,12,11,132
ADANIPORTS,2022-07-14,3,5,15
BSOFT,2022-07-14,30,3,90
REDINGTON,2022-07-14,129,6.6,851.4
TCS,2022-07-14,20,8,160
HCLTECH,2022-07-19,62,10,620
TATAMETALI,2022-07-20,3,8,24
LT,2022-07-21,2,22,44
HGINFRA,2022-07-21,6,1,6
ALKYLAMINE,2022-07-22,14,10,140
DEEPAKNTR,2022-07-25,14,7,98
BRIGADE,2022-07-25,8,1.5,12
PIDILITIND,2022-07-26,16,10,160
GPPL,2022-07-26,35,2.4,84
EMBASSY,2022-07-28,10,5.33,53.3
SRF,2022-07-28,6,3.6,21.6
SOBHA,2022-07-28,4,3,12
GAIL,2022-08-01,9,1,9
RATNAMANI,2022-08-01,3,9.33,27.99
JKCEMENT6,2022-08-02,1,15,15
DLF,2022-08-02,10,3,30
RAMCOCEM,2022-08-02,4,3,12
COFORGE,2022-08-03,7,13,91
APARINDS,2022-08-04,4,15,60
VOLTAMP,2022-08-04,2,35,70
WSTCSTPAPR,2022-08-08,12,6,72
VAIBHAVGBL6,2022-08-10,16,1.5,24
NTPC,2022-08-10,12,3,36
NHPC,2022-08-10,67,0.5,33.5
COALINDIA,2022-08-11,9,3,27
HINDALCO,2022-08-11,16,4,64
IEX,2022-08-11,155,1,155
DIVISLAB,2022-08-11,9,30,270
MINDSPACE,2022-08-11,10,4.74,47.4
KPITTECH,2022-08-12,58,1.85,107.3
CAMS,2022-08-12,4,6.75,27
RELAXO,2022-08-17,50,2.5,125
BERGEPAINT,2022-08-18,49,3.1,151.9
ONGC,2022-08-18,8,3.25,26
RELIANCE,2022-08-18,6,8,48
TANLA,2022-08-18,23,2,46
TANLA,2022-08-18,23,6,138
ASTRAL,2022-08-19,24,1.75,42
BPCL,2022-08-19,4,6,24
POWERGRID,2022-08-19,9,2.25,20.25
GSPL,2022-09-01,6,2,12
APLAPOLLO,2022-09-02,3,3.5,10.5
VINATIORGA,2022-09-06,5,6.5,32.5
MAHSEAMLES,2022-09-07,6,5,30
CDSL,2022-09-07,9,15,135
MOIL,2022-09-08,19,3,57
GMMPFAUDLR,2022-09-09,15,1,15
PHOENIXLTD,2022-09-12,4,2.4,9.6
AMRUTANJAN,2022-09-14,15,2.6,39
IGL,2022-09-15,5,5.5,27.5
SUNTECK,2022-09-15,8,1.5,12
NATIONALUM,2022-09-15,14,1.5,21
PRESTIGE,2022-09-19,8,1.5,12
TIMETECHNO,2022-09-20,37,1,37
