Symbol,Ex-date,Qty,Dividend per share,Total dividend
MIDHANI,2022-09-21,19,1.54,29.26
PNCINFRA,2022-09-21,8,0.5,4
LAOPALA,2022-09-21,47,0.8,37.6
KNRCON,2022-09-21,13,0.25,3.25
SJVN,2022-09-21,61,0.55,33.55
POLYPLEX6,2022-09-22,3,21,63
TCS,2022-10-17,34,8,272
HCLTECH,2022-10-19,92,10,920
INFY,2022-10-27,57,16.5,940.5
NESTLE,2022-10-31,2,120,240
EMBASSY,2022-10-31,10,5.46,54.6
ASIANPAINT,2022-10-31,15,4.4,66
SONATSOFTW,2022-10-31,13,7,91
BSOFT,2022-11-01,43,1.5,64.5
HINDUNILVR,2022-11-01,25,17,425
HAPPSTMNDS,2022-11-02,30,2,60
COFORGE,2022-11-03,12,13,156
LAURUSLABS,2022-11-03,20,0.8,16
VAIBHAVGBL6,2022-11-03,35,1.5,52.5
TECHM,2022-11-09,53,18,954
GMMPFAUDLR,2022-11-11,15,1,15
SIYSIL,2022-11-11,10,4,40
AMRUTANJAN,2022-11-14,25,1,25
PGINVIT,2022-11-14,22,3,66
POWERGRID,2022-11-14,9,5,45
COALINDIA,2022-11-15,9,15,135
INDIGRID,2022-11-15,21,3.3,69.3
CAMS,2022-11-16,4,8.5,34
LAOPALA,2022-11-18,47,2,94
GPPL,2022-11-18,35,2.7,94.5
SUNTV,2022-11-18,9,3.75,33.75
MINDSPACE,2022-11-18,10,4.75,47.5
ASTRAL,2022-11-18,24,1.25,30
PETRONET,2022-11-21,9,7,63
ONGC,2022-11-21,8,6.75,54
POLYPLEX6,2022-11-24,4,35,140
POLYPLEX6,2022-11-24,4,20,80
VEDL,2022-11-29,85,17.5,1487.5
TCS,2023-01-16,37,8,296
TCS,2023-01-16,37,67,2479
HCLTECH,2023-01-19,100,10,1000
WIPRO,2023-01-24,60,1,60
NATIONALUM,2023-01-25,27,1,27
PERSISTENT,2023-01-25,21,28,588
PGINVIT,2023-01-30,32,3,96
LTIM,2023-01-31,20,20,400
INDIGRID,2023-01-31,29,3.3,95.7
SIEMENS,2023-01-31,1,10,10
KEI,2023-02-03,2,3,6
VEDL,2023-02-03,100,12.5,1250
NTPC,2023-02-03,12,4.25,51
COFORGE,2023-02-03,13,19,247
VAIBHAVGBL6,2023-02-03,65,1.5,97.5
SIYSIL,2023-02-06,10,3,30
SHARDACROP6,2023-02-07,10,3,30
IGL,2023-02-07,5,3,15
SRF,2023-02-07,6,3.6,21.6
MOIL,2023-02-08,50,3,150
POWERGRID,2023-02-08,9,5,45
COALINDIA,2023-02-08,9,5.25,47.25
KPITTECH,2023-02-10,81,1.45,117.45
SUNTV,2023-02-13,9,3.75,33.75
CAMS,2023-02-15,7,10.5,73.5
AARTIIND,2023-02-15,20,1,20
ITC,2023-02-15,44,6,264
JKPAPER,2023-02-17,10,4,40
SJVN,2023-02-17,61,1.15,70.15
NHPC,2023-02-17,67,1.4,93.8
KIRLFER,2023-02-17,12,2.5,30
TORNTPOWER,2023-02-22,3,9,27
TORNTPOWER,2023-02-22,3,13,39
NMDC,2023-02-24,37,3.75,138.75
ONGC,2023-02-24,8,4,32
AMRUTANJAN,2023-02-24,50,1,50
POLYPLEX6,2023-02-24,10,30,300
UJJIVANSFB,2023-03-01,450,0.75,337.5
MARICO,2023-03-08,94,4.5,423
SUNTV,2023-03-21,11,2.5,27.5
NATIONALUM,2023-03-21,50,2.5,125
GAIL,2023-03-21,13,4,52
SAIL,2023-03-24,49,1,49
IGL,2023-03-31,5,10,50
