Symbol,Ex-date,Qty,Dividend per share,Total dividend
VEDL,2023-04-06,100,20.5,2050
BRITANNIA,2023-04-13,3,72,216
MUTHOOTFIN,2023-04-18,20,22,440
THYROCARE,2023-04-20,26,18,468
NESTLE,2023-04-21,2,75,150
NESTLE,2023-04-21,2,27,54
HCLTECH,2023-04-28,107,18,1926
CASTROLIND,2023-05-04,43,3.5,150.5
OFSS,2023-05-09,29,225,6525
LAURUSLABS,2023-05-10,25,1.2,30
COFORGE,2023-05-10,14,19,266
IRBINVIT,2023-05-12,39,2,78
HDFC,2023-05-16,6,44,264
HDFCBANK,2023-05-16,59,19,1121
INDIGRID,2023-05-18,29,3.45,100.05
TATACONSUM,2023-05-19,16,8.45,135.2
VEDL,2023-05-30,110,18.5,2035
ITC,2023-05-30,44,2.75,121
ITC,2023-05-30,44,6.75,297
PGINVIT,2023-05-31,32,3,96
INFY,2023-06-02,68,17.5,1190
PAGEIND,2023-06-02,1,60,60
TATAPOWER,2023-06-07,36,2,72
HDFCAMC,2023-06-09,2,48,96
ASIANPAINT,2023-06-09,37,21.25,786.25
INDHOTEL,2023-06-09,27,1,27
VOLTAS,2023-06-09,10,4.25,42.5
TATACHEM,2023-06-14,8,17.5,140
TCS,2023-06-15,41,24,984
HDFCLIFE,2023-06-16,125,1.9,237.5
TORNTPOWER,2023-06-16,3,4,12
HINDUNILVR,2023-06-19,26,22,572
POLYCAB,2023-06-21,3,20,60
TATAELXSI,2023-06-22,12,60.6,727.2
TATASTEEL,2023-06-22,114,3.6,410.4
DALBHARAT,2023-06-23,1,5,5
PNB6,2023-06-23,220,0.65,143
BAJFINANCE6,2023-06-30,16,30,480
BAJAJFINSV,2023-06-30,12,0.8,9.6
VAIBHAVGBL6,2023-06-30,65,1.5,97.5
GEOJITFSL,2023-07-03,50,1.5,75
ALKYLAMINE,2023-07-04,17,10,170
SUNDARMFIN6,2023-07-05,6,15,90
MPHASIS,2023-07-05,29,50,1450
REDINGTON,2023-07-07,102,7.2,734.4
ATGL,2023-07-07,10,0.25,2.5
HAPPSTMNDS,2023-07-07,30,3.4,102
LTIM,2023-07-10,21,40,840
PERSISTENT,2023-07-11,23,10,230
PERSISTENT,2023-07-11,23,12,276
JUBLFOOD,2023-07-12,5,1.2,6
TITAN,2023-07-13,4,10,40
UJJIVANSFB,2023-07-14,450,0.5,225
AUBANK,2023-07-14,15,1,15
KIRLFER,2023-07-14,12,3,36
BSOFT,2023-07-14,43,2,86
TCS,2023-07-20,41,9,369
HCLTECH,2023-07-20,107,10,1070
ARVIND,2023-07-21,41,2,82
ARVIND,2023-07-21,41,2,82
ARVIND,2023-07-21,41,3.75,153.75
SYMPHONY,2023-07-21,5,1,5
LICI,2023-07-21,10,3,30
ARVIND,2023-07-21,41,3.75,153.75
ARVIND,2023-07-21,41,2,82
TECHM,2023-07-21,64,32,2048
GPPL,2023-07-26,29,3.4,98.6
DEEPAKNTR,2023-07-27,16,7.5,120
PIDILITIND,2023-07-27,17,11,187
RATNAMANI,2023-07-27,4,12,48
IEX,2023-07-28,190,1,190
INDIGOPNTS,2023-07-28,13,3.5,45.5
EQUITASBNK,2023-07-28,323,1,323
ADANIPORTS,2023-07-28,3,5,15
AARTIIND,2023-07-28,20,1.5,30
VOLTAMP,2023-07-31,1,20,20
VOLTAMP,2023-07-31,1,40,40
SRF,2023-08-01,6,3.6,21.6
JKCEMENT6,2023-08-01,1,15,15
EXIDEIND,2023-08-01,30,2,60
LT,2023-08-02,2,24,48
LT,2023-08-02,2,6,12
PGINVIT,2023-08-02,32,3,96
INDIGRID,2023-08-03,29,3.45,100.05
COFORGE,2023-08-03,14,19,266
ASTRAL,2023-08-04,41,2.25,92.25
BERGEPAINT,2023-08-04,90,3.2,288
SYMPHONY,2023-08-04,5,1,5
CASTROLIND,2023-08-08,43,3,129
POWERGRID,2023-08-08,9,4.75,42.75
WSTCSTPAPR,2023-08-09,10,10,100
VAIBHAVGBL6,2023-08-10,65,1.5,97.5
IRBINVIT,2023-08-10,39,2,78
BPCL,2023-08-11,7,4,28
DIVISLAB,2023-08-11,15,30,450
LALPATHLAB6,2023-08-11,4,6,24
LALPATHLAB6,2023-08-11,4,6,24
MOTHERSON,2023-08-11,50,0.65,32.5
BANDHANBNK6,2023-08-11,20,1.5,30
NTPC,2023-08-11,12,3,36
FINEORG,2023-08-14,1,9,9
HGINFRA,2023-08-14,10,1.25,12.5
CAMS,2023-08-14,7,8,56
CAMS,2023-08-14,7,12,84
GESHIP,2023-08-14,7,7.5,52.5
GESHIP,2023-08-14,7,5.4,37.8
HINDALCO,2023-08-14,9,3,27
KPITTECH,2023-08-14,88,2.65,233.2
MAHSEAMLES,2023-08-14,11,5,55
RELAXO,2023-08-17,55,2.5,137.5
VGUARD6,2023-08-17,33,1.3,42.9
JKPAPER,2023-08-18,25,4,100
COALINDIA,2023-08-18,9,4,36
IRCTC,2023-08-18,16,2,32
PETRONET,2023-08-18,9,3,27
ONGC,2023-08-18,8,0.5,4
PAGEIND,2023-08-18,2,75,150
WHIRLPOOL,2023-08-18,7,5,35
RELIANCE,2023-08-21,7,9,63
SUNTV,2023-08-22,13,6.25,81.25
NHPC,2023-08-22,41,0.45,18.45
CDSL,2023-08-25,13,16,208
NCC,2023-08-25,68,2.2,149.6
GMMPFAUDLR,2023-08-29,18,1,18
TANLA,2023-08-30,23,4,92
NMDC,2023-08-31,37,2.85,105.45
APLAPOLLO,2023-09-01,6,5,30
GSPL,2023-09-01,6,5,30
VINATIORGA,2023-09-01,6,7,42
MOIL,2023-09-08,54,0.69,37.26
POLYPLEX6,2023-09-08,10,3,30
AMRUTANJAN,2023-09-14,50,2.6,130
IRFC,2023-09-15,100,0.7,70
NATIONALUM,2023-09-15,50,1,50
IBULHSGFIN,2023-09-18,50,1.25,62.5
SAIL,2023-09-20,49,0.5,24.5
SJVN,2023-09-21,16,0.62,9.92
LAOPALA,2023-09-21,35,3,105
PNCINFRA,2023-09-22,14,0.5,7
KNRCON,2023-09-22,22,0.25,5.5
TCS,2023-10-19,41,9,369
HCLTECH,2023-10-20,117,12,1404
DALBHARAT,2023-10-20,2,4,8
INFY,2023-10-25,81,18,1458
LTIM,2023-10-27,26,20,520
ASTRAL,2023-10-27,41,1.5,61.5
