Symbol,Ex-date,Qty,Dividend per share,Total dividend
HAPPSTMNDS,2023-10-30,30,2.5,75
NESTLE,2023-11-01,2,140,280
IRBINVIT,2023-11-01,52,2,104
COFORGE,2023-11-02,14,19,266
HINDUNILVR,2023-11-02,30,18,540
LAURUSLABS,2023-11-02,25,0.4,10
SYMPHONY,2023-11-03,8,2,16
ASIANPAINT,2023-11-03,37,5.15,190.55
NTPC,2023-11-03,12,2.25,27
MARICO,2023-11-07,104,3,312
VAIBHAVGBL6,2023-11-07,65,1.5,97.5
GESHIP,2023-11-08,8,6.3,50.4
BSOFT,2023-11-08,43,2.5,107.5
INDIGRID,2023-11-09,29,3.55,102.95
IRFC,2023-11-10,100,0.8,80
DABUR,2023-11-10,10,2.75,27.5
PETRONET,2023-11-10,9,7,63
PGINVIT,2023-11-13,32,3,96
IGL,2023-11-15,5,4,20
POWERGRID,2023-11-16,12,4,48
POLYPLEX6,2023-11-17,10,2,20
IRCTC,2023-11-17,16,2.5,40
CAMS,2023-11-17,9,10,90
PAGEIND,2023-11-17,2,75,150
GMMPFAUDLR,2023-11-20,18,1,18
ONGC,2023-11-21,15,5.75,86.25
GPPL,2023-11-21,37,3.6,133.2
SUNTV,2023-11-21,10,5,50
COALINDIA,2023-11-21,9,15.25,137.25
NATIONALUM,2023-11-22,50,1,50
AMRUTANJAN,2023-11-23,50,1,50
BPCL,2023-12-12,7,21,147
RAJESHEXPO6,2023-12-22,115,1,115
VEDL,2023-12-27,130,11,1430
TCS,2024-01-19,41,18,738
HCLTECH,2024-01-19,117,12,1404
TCS,2024-01-19,41,9,369
WIPRO,2024-01-24,75,1,75
PCBL,2024-01-29,26,5.5,143
PERSISTENT,2024-01-30,17,32,544
SIEMENS,2024-01-30,2,10,20
INDIGRID,2024-01-31,29,3.55,102.95
IEX,2024-02-02,190,1,190
COFORGE,2024-02-05,14,19,266
IRBINVIT,2024-02-05,52,2,104
TANLA,2024-02-05,23,6,138
NTPC,2024-02-06,9,2.25,20.25
GAIL,2024-02-06,17,5.5,93.5
SRF,2024-02-07,6,3.6,21.6
SYMPHONY,2024-02-07,8,2,16
VAIBHAVGBL6,2024-02-08,65,1.5,97.5
ITC,2024-02-08,40,6.25,250
MOIL,2024-02-09,23,3.5,80.5
KPITTECH,2024-02-09,88,2.1,184.8
GESHIP,2024-02-12,8,6.3,50.4
LALPATHLAB6,2024-02-13,4,12,48
ACI,2024-02-14,10,1,10
NESTLE,2024-02-15,30,7,210
POWERGRID,2024-02-15,20,4.5,90
ONGC,2024-02-16,21,4,84
TORNTPOWER,2024-02-16,10,12,120
CAMS,2024-02-16,9,12,108
SUNDARMFIN6,2024-02-16,6,14,84
PAGEIND,2024-02-16,3,100,300
JKPAPER,2024-02-16,35,3.5,122.5
COALINDIA,2024-02-20,11,5.25,57.75
SAIL,2024-02-20,57,1,57
AMRUTANJAN,2024-02-20,65,1,65
SJVN,2024-02-21,20,1.15,23
BECTORFOOD,2024-02-21,10,1.25,12.5
LICI,2024-02-21,10,4,40
NHPC,2024-02-22,52,1.4,72.8
SUNTV,2024-02-23,10,2.5,25
NATIONALUM,2024-02-23,60,2,120
NMDC,2024-02-27,37,5.75,212.75
MARICO,2024-03-06,104,6.5,676
OIL,2024-03-18,8,8.5,68
KEI,2024-03-19,2,3.5,7
CASTROLIND,2024-03-21,36,4.5,162
SBICARD,2024-03-28,70,2.5,175
