Symbol,Ex-date,Qty,Dividend per share,Total dividend
IRFC,2024-11-12,160,0.8,128
PAGEIND,2024-11-14,2,250,500
POWERGRID,2024-11-14,154,4.5,693
ASTRAL,2024-11-14,59,1.5,88.5
OIL,2024-11-14,55,3,165
IRCTC,2024-11-14,27,4,108
AMARAJABAT,2024-11-14,14,5.3,74.2
MANAPPURAM,2024-11-18,70,1,70
ONGC,2024-11-19,102,6,612
GPPL,2024-11-19,58,4,232
ASIANPAINT,2024-11-19,78,4.25,331.5
VAIBHAVGBL6,2024-11-19,110,1.5,165
GMMPFAUDLR,2024-11-21,47,1,47
AMRUTANJAN,2024-11-22,75,1,75
POLYPLEX6,2024-11-26,10,9,90
SUNTV,2024-11-26,25,5,125
HAPPSTMNDS,2024-11-27,30,2.5,75
NATIONALUM,2024-11-29,81,4,324
HCLTECH,2025-01-17,114,6,684
HCLTECH,2025-01-17,114,12,1368
TCS,2025-01-17,60,66,3960
TCS,2025-01-17,60,10,600
ANGELONE,2025-01-21,10,11,110
TANLA,2025-01-27,23,6,138
KEI,2025-01-27,8,4,32
INDIGRID,2025-01-28,80,3.75,300
BPCL,2025-01-29,94,5,470
COFORGE,2025-01-30,18,19,342
SIEMENS,2025-01-30,2,12,24
IEX,2025-01-31,183,1.5,274.5
COALINDIA,2025-01-31,99,5.6,554.4
NTPC,2025-01-31,119,2.5,297.5
PERSISTENT,2025-01-31,31,20,620
KPITTECH,2025-02-04,133,2.5,332.5
DAAWAT,2025-02-04,50,0.5,25
SHYAMMETL,2025-02-07,34,2.25,76.5
GAIL,2025-02-07,114,6.5,741
SUNDARMFIN6,2025-02-07,4,14,56
CLEAN,2025-02-07,40,2,80
MARICO,2025-02-07,80,3.5,280
POWERGRID,2025-02-07,154,3.25,500.5
ONGC,2025-02-07,102,5,510
VAIBHAVGBL6,2025-02-07,110,1.5,165
NESTLE,2025-02-07,78,14.25,1111.5
HEROMOTOCO,2025-02-12,9,100,900
TORNTPOWER,2025-02-12,19,14,266
ITC,2025-02-12,48,6.5,312
PAGEIND,2025-02-13,2,150,300
NHPC,2025-02-13,277,1.4,387.8
APOLLOHOSP,2025-02-14,5,9,45
PIIND,2025-02-14,13,6,78
MOIL,2025-02-14,58,4.02,233.16
NATIONALUM,2025-02-14,81,4,324
OIL,2025-02-17,55,7,385
BECTORFOOD#,2025-02-17,75,3,225
CAMPUS,2025-02-17,125,0.7,87.5
AMRUTANJAN,2025-02-18,75,1,75
GREENPANEL,2025-02-18,110,0.3,33
IRCTC,2025-02-20,27,3,81
SJVN,2025-02-21,165,1.15,189.75
SBICARD,2025-02-25,80,2.5,200
NMDC,2025-03-21,324,2.3,745.2
IRFC,2025-03-21,160,0.8,128
TVSMOTOR,2025-03-26,18,10,180
MOTHERSON#,2025-03-28,250,0.5,125
