Symbol,Ex-date,Qty,Dividend per share,Total dividend
SUNTV,2024-04-08,12,3,36
SCHAEFFLER,2024-04-19,5,26,130
HCLTECH,2024-05-07,98,18,1764
OFSS,2024-05-07,17,240,4080
IRBINVIT,2024-05-07,52,2,104
LAURUSLABS,2024-05-08,25,0.4,10
HDFCBANK,2024-05-10,137,19.5,2671.5
COFORGE,2024-05-15,18,19,342
TCS,2024-05-16,47,28,1316
GESHIP,2024-05-22,8,10.8,86.4
TATACONSUM,2024-05-24,12,7.75,93
INDIGRID,2024-05-30,29,3.55,102.95
INFY,2024-05-31,91,20,1820
INFY,2024-05-31,91,8,728
IEX,2024-05-31,190,1.5,285
MUTHOOTFIN,2024-05-31,20,24,480
PAGEIND,2024-05-31,3,120,360
ITC,2024-06-04,40,7.5,300
INDHOTEL,2024-06-07,20,1.75,35
TATAMOTORS,2024-06-11,20,3,60
ASIANPAINT,2024-06-11,55,28.15,1548.25
JINDALSAW,2024-06-11,15,4,60
TATAMOTORS,2024-06-11,20,3,60
TATACHEM,2024-06-12,7,15,105
HAPPSTMNDS,2024-06-14,30,3.25,97.5
ADANIPORTS,2024-06-14,8,6,48
HINDUNILVR,2024-06-14,60,24,1440
ATGL,2024-06-14,31,0.25,7.75
TORNTPOWER,2024-06-14,9,4,36
HDFCAMC,2024-06-18,4,70,280
DALBHARAT,2024-06-19,7,5,35
LTIM,2024-06-19,38,45,1710
LT,2024-06-20,4,28,112
PNB6,2024-06-21,220,1.5,330
TATASTEEL,2024-06-21,173,3.6,622.8
BAJAJFINSV,2024-06-21,12,1,12
HDFCLIFE,2024-06-21,140,2,280
BAJFINANCE6,2024-06-21,23,36,828
ALKYLAMINE,2024-06-25,17,10,170
VOLTAS,2024-06-25,8,5.5,44
TATAELXSI,2024-06-25,16,70,1120
TITAN,2024-06-27,6,11,66
VAIBHAVGBL6,2024-06-28,78,1.5,117
GEOJITFSL,2024-07-01,275,1.5,412.5
TATAPOWER,2024-07-04,47,2,94
APOLLOTYRE,2024-07-05,17,6,102
CAMS,2024-07-08,9,16.5,148.5
PERSISTENT,2024-07-09,39,10,390
JSWSTEEL,2024-07-09,28,7.3,204.4
JKCEMENT6,2024-07-09,4,15,60
JKCEMENT6,2024-07-09,4,5,20
POLYCAB,2024-07-09,8,30,240
MPHASIS,2024-07-10,52,55,2860
UJJIVANSFB,2024-07-12,400,1.5,600
UTKARSHBNK,2024-07-12,200,0.5,100
BSOFT,2024-07-12,43,4,172
AUBANK,2024-07-12,30,1,30
CDSL,2024-07-16,20,3,60
NESTLE,2024-07-16,34,2.75,93.5
NESTLE,2024-07-16,34,8.5,289
CDSL,2024-07-16,20,19,380
AMARAJABAT,2024-07-18,7,5.1,35.7
TANLA,2024-07-18,23,6,138
KOTAKBANK,2024-07-19,42,2,84
DELTACORP,2024-07-19,150,1.25,187.5
TCS,2024-07-19,51,10,510
EXIDEIND,2024-07-22,80,2,160
HCLTECH,2024-07-23,108,12,1296
PIDILITIND,2024-07-24,32,16,512
VGUARD6,2024-07-25,33,1.4,46.2
SONATSOFTW,2024-07-26,20,4.4,88
WHIRLPOOL,2024-07-26,7,5,35
AARTIIND,2024-07-26,20,1,20
DEEPAKNTR,2024-07-29,16,7.5,120
INDIGRID,2024-07-30,80,3.75,300
AVANTI,2024-07-30,15,6.75,101.25
SUNDARMFIN6,2024-07-31,4,16,64
IRBINVIT,2024-07-31,169,2,338
DIVISLAB,2024-08-02,16,30,480
COFORGE,2024-08-02,21,19,399
INDIGOPNTS,2024-08-02,64,3.5,224
GMMPFAUDLR,2024-08-02,47,1,47
BERGEPAINT,2024-08-05,165,3.5,577.5
DAAWAT,2024-08-06,38,0.5,19
NTPC,2024-08-07,88,3.25,286
NUVAMA,2024-08-07,2,81.5,163
ESAFSFB,2024-08-07,200,0.7,140
CASTROLIND,2024-08-07,36,3.5,126
BPCL,2024-08-09,67,10.5,703.5
EQUITASBNK,2024-08-09,220,1,220
CUB,2024-08-09,230,1.5,345
KPITTECH,2024-08-09,98,4.6,450.8
VAIBHAVGBL6,2024-08-09,110,1.5,165
HINDALCO#,2024-08-09,41,3.5,143.5
CEATLTD6,2024-08-09,3,30,90
NHPC,2024-08-12,168,0.5,84
BANDHANBNK6,2024-08-13,370,1.5,555
FINEORG,2024-08-13,5,10,50
HGINFRA,2024-08-14,13,1.5,19.5
MOTHERSON#,2024-08-14,140,0.8,112
GPPL,2024-08-14,58,3.7,214.6
THYROCARE,2024-08-16,30,18,540
PAGEIND,2024-08-16,3,300,900
ASTRAL,2024-08-16,49,2.25,110.25
POWERGRID,2024-08-16,133,2.75,365.75
COALINDIA,2024-08-16,65,5,325
RELIANCE,2024-08-19,20,10,200
SUNTV,2024-08-20,12,5,60
TITAGARH,2024-08-20,6,0.8,4.8
RATNAMANI,2024-08-20,10,14,140
JKPAPER,2024-08-20,50,5,250
IRFC,2024-08-22,100,0.7,70
RELAXO,2024-08-22,55,3,165
JINDALSTEL,2024-08-22,23,2,46
MAXHEALTH,2024-08-23,25,1.5,37.5
ONGC,2024-08-23,77,2.5,192.5
IRCTC,2024-08-23,16,4,64
MANYAVAR,2024-08-23,10,8.5,85
CLEAN,2024-08-29,30,3,90
OIL,2024-08-30,39,2.5,97.5
MOIL,2024-08-30,32,2.55,81.6
NCC,2024-08-30,24,2.2,52.8
VINATIORGA,2024-09-03,15,7,105
KTKBANK,2024-09-03,135,5.5,742.5
JWL,2024-09-05,13,0.3,3.9
SJVN,2024-09-12,107,0.65,69.55
RUSHIL,2024-09-13,300,0.1,30
AMRUTANJAN,2024-09-13,75,2.6,195
JKIL,2024-09-17,11,4,44
NMDC,2024-09-17,132,1.5,198
DAAWAT,2024-09-17,24,1,24
LUXIND,2024-09-19,25,2,50
APLAPOLLO,2024-09-19,20,5.5,110
SAIL,2024-09-19,100,1,100
TARSONS,2024-09-20,55,2,110
TIMETECHNO,2024-09-20,24,2,48
HMAAGRO,2024-09-20,560,0.3,168
PNCINFRA,2024-09-20,31,0.6,18.6
POLYPLEX6,2024-09-20,10,1,10
NATIONALUM,2024-09-20,77,2,154
BECTORFOOD,2024-09-20,47,2,94
JWL,2024-10-07,13,1,13
COFORGE,2024-10-11,22,19,418
TCS,2024-10-18,56,10,560
HCLTECH,2024-10-22,114,12,1368
LTIM,2024-10-25,31,20,620
INFY,2024-10-29,100,21,2100
INDIGRID,2024-10-30,80,3.75,300
CRISIL,2024-10-30,2,15,30
NTPC,2024-10-31,108,2.5,270
BSOFT,2024-10-31,43,2.5,107.5
COALINDIA,2024-11-05,99,15.75,1559.25
DAAWAT,2024-11-06,50,0.5,25
HINDUNILVR,2024-11-06,63,10,630
HINDUNILVR,2024-11-06,63,19,1197
NUVAMA,2024-11-07,8,63,504
