Symbol,Smallcases,Sources,File_Origins
POWERGRID,Energy Tracker; Infra Tracker,Zerodha_Smallcase,Energy_Tracker_20_9_2026.csv; Infra_Tracker_20_9_2026.csv
PRICOLLTD,Growth & Value Multicap Model,Zerodha_Smallcase,Growth_Value_Multicap_Model_20_9_2026.csv
RAINBOW,Safe Haven Model,Groww_Smallcase,Safe_Haven_Model_20_9_2026.csv
RELIANCE,Dividend Aristocrats Model; Energy Tracker,Zerodha_Smallcase,Dividend_Aristocrats_Model_20_9_2026.csv; Energy_Tracker_20_9_2026.csv
SCHAEFFLER,Dividend Aristocrats Model,Zerodha_Smallcase,Dividend_Aristocrats_Model_20_9_2026.csv
SHADOWFAX,Transporting India Theme,Groww_Smallcase,Transporting_India_Theme_20_9_2026.csv
SIEMENS,Infra Tracker,Zerodha_Smallcase,Infra_Tracker_20_9_2026.csv
SONACOMS,Auto Tracker; Electric Mobility Theme,Groww_Smallcase,Auto_Tracker_20_9_2026.csv; Electric_Mobility_Theme_20_9_2026.csv
STAR,Growth & Value Multicap Model,Zerodha_Smallcase,Growth_Value_Multicap_Model_20_9_2026.csv
SUNDARMFIN,Dividend Aristocrats Model,Zerodha_Smallcase,Dividend_Aristocrats_Model_20_9_2026.csv
SUPRAJIT,Auto Tracker,Groww_Smallcase,Auto_Tracker_20_9_2026.csv
TATACAP,House of Tata Tracker,Zerodha_Smallcase,House_of_Tata_Tracker_20_9_2026.csv
TATACONSUM,House of Tata Tracker,Zerodha_Smallcase,House_of_Tata_Tracker_20_9_2026.csv
TATAPOWER,Electric Mobility Theme; Energy Tracker; House of Tata Tracker,Groww_Smallcase; Zerodha_Smallcase,Electric_Mobility_Theme_20_9_2026.csv; Energy_Tracker_20_9_2026.csv; House_of_Tata_Tracker_20_9_2026.csv
TATASTEEL,House of Tata Tracker,Zerodha_Smallcase,House_of_Tata_Tracker_20_9_2026.csv
TATATECH,House of Tata Tracker,Zerodha_Smallcase,House_of_Tata_Tracker_20_9_2026.csv
TCI,Transporting India Theme,Groww_Smallcase,Transporting_India_Theme_20_9_2026.csv
TCS,House of Tata Tracker; IT Tracker,Zerodha_Smallcase,House_of_Tata_Tracker_20_9_2026.csv; IT_Tracker_20_9_2026.csv
TECHM,IT Tracker,Zerodha_Smallcase,IT_Tracker_20_9_2026.csv
TECHNOE,Infra Tracker,Zerodha_Smallcase,Infra_Tracker_20_9_2026.csv
TIPSMUSIC,Safe Haven Model,Groww_Smallcase,Safe_Haven_Model_20_9_2026.csv
TITAGARH,Transporting India Theme,Groww_Smallcase,Transporting_India_Theme_20_9_2026.csv
TITAN,House of Tata Tracker,Zerodha_Smallcase,House_of_Tata_Tracker_20_9_2026.csv
TVSMOTOR,Auto Tracker; Electric Mobility Theme,Groww_Smallcase,Auto_Tracker_20_9_2026.csv; Electric_Mobility_Theme_20_9_2026.csv
ULTRACEMCO,Infra Tracker,Zerodha_Smallcase,Infra_Tracker_20_9_2026.csv
UNOMINDA,Auto Tracker; Electric Mobility Theme,Groww_Smallcase,Auto_Tracker_20_9_2026.csv; Electric_Mobility_Theme_20_9_2026.csv
VIJAYA,Safe Haven Model,Groww_Smallcase,Safe_Haven_Model_20_9_2026.csv
VOLTAS,House of Tata Tracker,Zerodha_Smallcase,House_of_Tata_Tracker_20_9_2026.csv
ZFCVINDIA,Dividend Aristocrats Model,Zerodha_Smallcase,Dividend_Aristocrats_Model_20_9_2026.csv
